fecha,git,flash,ram,nota,top_text
2026-09-10,4e2b71a,29820,1157,base pre-Fase 1 + perf.h/ab,main:6236;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1490;_Z3ssbi:962;_ZL16cat_serial_eventv:936;_ZN6SI53514freqEljj.constprop.21:916;_Z11display_vfov:796;_Z11switch_rxtxh:764;_Z4dec2v:626;_ZN4Menu6renderEv.constprop.7:484;_ZN6SI53512msEammhhjh.constprop.22:476;MENU:476
2026-09-10,f103dbf,28662,1157,F1.1 smeter fixed-point,main:6236;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1490;_Z3ssbi:962;_ZL16cat_serial_eventv:936;_ZN6SI53514freqEljj.constprop.21:916;_Z11display_vfov:804;_Z11switch_rxtxh:764;_Z4dec2v:626;_ZN4Menu6renderEv.constprop.7:484;_ZN6SI53512msEammhhjh.constprop.22:476;MENU:476
2026-09-10,f103dbf,29404,1161,F1.2 freq_calc_fast exacto,main:6236;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1490;_ZN6SI53514freqEljj.constprop.21:1016;_Z3ssbi:962;_ZL16cat_serial_eventv:936;_Z11display_vfov:804;_ZN6SI535114freq_calc_fastEl.constprop.24:778;_Z11switch_rxtxh:764;_Z4dec2v:626;_ZN4Menu6renderEv.constprop.7:484;_ZN6SI53512msEammhhjh.constprop.22:476
2026-09-10,f103dbf,29484,1166,F1.3 bulk diferencial,main:6236;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1490;_ZN6SI53514freqEljj.constprop.23:1020;_Z3ssbi:962;_ZL16cat_serial_eventv:936;_Z11display_vfov:804;_ZN6SI535114freq_calc_fastEl.constprop.26:778;_Z11switch_rxtxh:764;_Z4dec2v:626;_ZN4Menu6renderEv.constprop.7:484;_ZN6SI53512msEammhhjh.constprop.24:480
2026-09-11,a109a5c,30078,1172,F2.5 banda direccional + F3.6 mic atten,main:6550;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1522;_ZL16cat_serial_eventv:1158;_ZN6SI53514freqEljj.constprop.22:1020;_Z3ssbi:962;_ZN6SI535114freq_calc_fastEl.constprop.25:778;_Z11switch_rxtxh:764;_ZL6smeteri.constprop.6:644;_Z4dec2v:626;MENU:493;_ZN4Menu6renderEv.constprop.8:484
2026-09-11,414466a,30188,1172,F3.7 DIGI mode,main:6550;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1522;_ZL16cat_serial_eventv:1158;_Z3ssbi:1042;_ZN6SI53514freqEljj.constprop.22:1020;_ZN6SI535114freq_calc_fastEl.constprop.25:778;_Z11switch_rxtxh:764;_ZL6smeteri.constprop.6:644;_Z4dec2v:626;MENU:510;_ZN4Menu6renderEv.constprop.8:484
2026-09-11,3d226ec,30326,1177,F3.8 ALC,main:6550;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1522;_Z3ssbi:1180;_ZL16cat_serial_eventv:1158;_ZN6SI53514freqEljj.constprop.22:1020;_ZN6SI535114freq_calc_fastEl.constprop.25:778;_Z11switch_rxtxh:764;_ZL6smeteri.constprop.6:644;_Z4dec2v:626;MENU:510;_ZN4Menu6renderEv.constprop.8:484
2026-09-11,1314906,30326,1177,F3.9 CESSB revertido,main:6550;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1522;_Z3ssbi:1180;_ZL16cat_serial_eventv:1158;_ZN6SI53514freqEljj.constprop.22:1020;_ZN6SI535114freq_calc_fastEl.constprop.25:778;_Z11switch_rxtxh:764;_ZL6smeteri.constprop.6:644;_Z4dec2v:626;MENU:510;_ZN4Menu6renderEv.constprop.8:484
2026-09-11,703e25f,30476,1180,F3.9b compresor voz,main:6550;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1522;_Z3ssbi:1304;_ZL16cat_serial_eventv:1158;_ZN6SI53514freqEljj.constprop.22:1020;_ZN6SI535114freq_calc_fastEl.constprop.25:778;_Z11switch_rxtxh:764;_ZL6smeteri.constprop.6:644;_Z4dec2v:626;MENU:527;_ZN4Menu6renderEv.constprop.8:484
2026-09-11,bc2c203,30598,1183,F3.9c lowcut,main:6564;_Z9sdr_rx_00v:3456;_ZN4Menu12handle_eventEh.constprop.4:1522;_Z3ssbi:1368;_ZL16cat_serial_eventv:1158;_ZN6SI53514freqEljj.constprop.22:1020;_ZN6SI535114freq_calc_fastEl.constprop.25:778;_Z11switch_rxtxh:764;_ZL6smeteri.constprop.6:644;_Z4dec2v:626;MENU:544;_ZN4Menu6renderEv.constprop.8:484
